,Name,Party,Votes,Comparative number,Region,Selected
325,"Terho, Sampo",Sin,3094,4758,Uudenmaan vp,
326,"Kattelus, Lauri",Kok,3093,8737,Varsinais-Suomen vp,
327,"Lahti, Risto",Kesk,3074,6258,Vaasan vp,
328,"Tahvanainen, Säde",SDP,3070,9696,Uudenmaan vp,
329,"Lampi, Satu",PS,3047,9642,Uudenmaan vp,
330,"Luoto, Heikki",PS,3021,8630,Pirkanmaan vp,
331,"Paalanen, Piila",Vihr,3006,6189,Pirkanmaan vp,
332,"Forsblom, Toni",Kok,2998,7489,Varsinais-Suomen vp,
333,"Visakorpi, Marika",KD,2993,8769,Keski-Suomen vp,
334,"Kärki, Niilo",PS,2965,8678,Uudenmaan vp,
335,"Nygård, Mia",Kok,2949,9296,Helsingin vp,
336,"Talja, Martti",Kesk,2933,6963,Hämeen vp,
337,"Linnanmäki, Vesa",Kesk,2926,6303,Savo-Karjalan vp,
338,"Partanen, Kati",Kesk,2926,5603,Savo-Karjalan vp,
339,"Lehti, Eero",Kok,2918,10390,Uudenmaan vp,
340,"Haapanen, Satu",Vihr,2864,6789,Oulun vp,
341,"Kisner, Susanna",Kesk,2861,6517,Oulun vp,
342,"Vuornos, Henrik",Kok,2851,9524,Uudenmaan vp,
343,"Kuisma, Risto",SDP,2844,5962,Kaakkois-Suomen vp,
344,"Huuhtanen, Pasi",PS,2834,7889,Uudenmaan vp,
345,"Voutila, Samuli",PS,2830,8001,Savo-Karjalan vp,
346,"Katainen, Mervi",Kok,2813,8791,Uudenmaan vp,
347,"Riekki, Vesa",Kesk,2811,6016,Oulun vp,
348,"Ala-Nissilä, Olavi",Kesk,2787,7437,Varsinais-Suomen vp,
349,"Veltheim, Erika",PS,2787,7397,Pirkanmaan vp,
350,"Anttila, Juha",PS,2782,9633,Varsinais-Suomen vp,
351,"Kaartinen, Tiina",SDP,2738,6372,Savo-Karjalan vp,
352,"Kähärä, Sirkka-Liisa",SDP,2735,8815,Uudenmaan vp,
353,"Kymäläinen, Sami",PS,2710,6472,Pirkanmaan vp,
354,"Hyvönen, Saija",PS,2703,7529,Oulun vp,
355,"Häggman, Johanna",Kesk,2687,5223,Hämeen vp,
356,"Väänänen, Harri",PS,2678,6668,Savo-Karjalan vp,
357,"Pahlman, Irma",SDP,2648,8080,Uudenmaan vp,
358,"Karlsson, Anette",SDP,2642,7459,Uudenmaan vp,
